City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Saint-Augustin,CA,2022-05-05 18:20:47,51.226,-58.6502,47.01,53,65,9.48
68,Touros,BR,2022-05-05 18:20:48,-5.1989,-35.4608,77.32,91,96,14.81
69,Nanortalik,GL,2022-05-05 18:20:49,60.1432,-45.2371,34.27,73,100,9.08
70,Riohacha,CO,2022-05-05 18:20:50,11.5444,-72.9072,91.15,55,100,10.74
71,Ushuaia,AR,2022-05-05 18:20:47,-54.8,-68.3,49.66,46,40,18.41
72,San Patricio,US,2022-05-05 18:20:52,28.017,-97.5169,86.88,60,39,19.6
73,Sturgeon Bay,US,2022-05-05 18:20:54,44.8342,-87.377,58.96,51,0,6.91
74,Belyy Yar,RU,2022-05-05 18:20:55,53.6039,91.3903,39.09,48,37,2.24
75,Bluff,NZ,2022-05-05 18:20:55,-46.6,168.3333,52.81,87,41,5.66
76,Emba,KZ,2022-05-05 18:20:56,48.8264,58.1442,56.19,49,45,8.05
77,Singleton,AU,2022-05-05 18:20:56,-32.5667,151.1833,56.98,78,80,4.0
78,Hendala,LK,2022-05-05 18:20:57,6.9909,79.883,80.69,87,83,8.59
79,Codrington,AU,2022-05-05 18:20:57,-38.2667,141.9667,48.81,86,99,2.68
80,Hovd,MN,2022-05-05 18:20:59,48.0056,91.6419,52.18,27,89,2.91
81,Calabozo,VE,2022-05-05 18:20:59,8.9242,-67.4293,90.57,46,97,10.45
82,Nhulunbuy,AU,2022-05-05 18:21:01,-12.2333,136.7667,79.41,83,75,8.05
83,Barzas,RU,2022-05-05 18:21:01,55.7167,86.3167,42.31,57,80,1.99
84,Fairbanks,US,2022-05-05 18:17:21,64.8378,-147.7164,46.6,62,40,1.01
85,Mangrol,IN,2022-05-05 18:21:02,21.1167,70.1167,81.66,81,0,11.83
86,Saldanha,ZA,2022-05-05 18:21:03,-33.0117,17.9442,57.25,96,24,7.11
87,Los Llanos De Aridane,ES,2022-05-05 18:21:04,28.6585,-17.9182,64.15,81,75,10.36
88,Huarmey,PE,2022-05-05 18:21:04,-10.0681,-78.1522,71.83,74,16,10.0
89,Nikolskoye,RU,2022-05-05 18:21:06,59.7035,30.7861,49.8,56,100,5.1
90,Cap Malheureux,MU,2022-05-05 18:21:09,-19.9842,57.6142,75.47,80,22,8.99
91,Kapaa,US,2022-05-05 18:21:09,22.0752,-159.319,77.32,80,40,16.11
92,Gibara,CU,2022-05-05 18:22:11,21.1097,-76.1317,88.92,65,24,10.67
93,Rock Sound,BS,2022-05-05 18:22:12,24.9,-76.2,77.77,74,0,5.64
94,Carnarvon,AU,2022-05-05 18:22:12,-24.8667,113.6333,64.47,52,13,6.91
95,Hithadhoo,MV,2022-05-05 18:22:14,-0.6,73.0833,83.84,74,100,17.11
96,Asfi,MA,2022-05-05 18:22:14,32.2994,-9.2372,69.21,61,0,27.49
97,Kruisfontein,ZA,2022-05-05 18:22:15,-34.0033,24.7314,62.6,67,11,1.92
98,Kaitangata,NZ,2022-05-05 18:22:17,-46.2817,169.8464,53.74,81,73,4.29
99,Vaini,TO,2022-05-05 18:22:18,-21.2,-175.2,69.96,94,20,1.14
100,Gunjur,GM,2022-05-05 18:22:18,13.2019,-16.7339,87.87,45,0,13.8
101,Comodoro Rivadavia,AR,2022-05-05 18:22:19,-45.8667,-67.5,62.46,25,0,5.75
102,Hermanus,ZA,2022-05-05 18:22:20,-34.4187,19.2345,59.81,92,13,8.86
103,Port Lincoln,AU,2022-05-05 18:22:20,-34.7333,135.8667,56.48,57,80,13.13
104,Moranbah,AU,2022-05-05 18:22:21,-22.0016,148.0466,70.25,78,43,4.25
105,Kardonikskaya,RU,2022-05-05 18:22:22,43.8617,41.7194,42.21,97,100,2.82
106,Barahona,DO,2022-05-05 18:22:22,18.2085,-71.1008,85.82,74,40,16.11
107,Lompoc,US,2022-05-05 18:22:23,34.6391,-120.4579,68.14,86,100,5.75
108,Olafsvik,IS,2022-05-05 18:22:24,64.8945,-23.7142,37.65,77,100,7.83
109,Leningradskiy,RU,2022-05-05 18:22:25,69.3833,178.4167,8.8,96,65,4.41
110,Port Elizabeth,ZA,2022-05-05 18:22:26,-33.918,25.5701,61.09,88,0,2.3
111,Poum,NC,2022-05-05 18:22:26,-20.2333,164.0167,77.32,79,11,5.35
112,Batagay,RU,2022-05-05 18:22:29,67.6333,134.6333,22.84,97,100,3.29
113,Haapiti,PF,2022-05-05 18:22:29,-17.5667,-149.8667,80.33,78,66,11.41
114,Pangnirtung,CA,2022-05-05 18:22:31,66.1451,-65.7125,14.0,79,20,6.91
115,Cape Town,ZA,2022-05-05 18:22:32,-33.9258,18.4232,60.12,89,20,5.75
116,Camapua,BR,2022-05-05 18:22:32,-19.5314,-54.0439,79.79,37,0,2.48
117,Saint George,US,2022-05-05 18:21:41,37.1041,-113.5841,79.63,20,0,6.91
118,Yeniseysk,RU,2022-05-05 18:22:33,58.4497,92.1703,39.78,68,99,4.92
119,Otjimbingwe,NA,2022-05-05 18:22:34,-22.35,16.1333,70.57,24,0,3.96
120,Aykhal,RU,2022-05-05 18:22:34,66.0,111.5,31.17,97,99,14.88
121,Kolokani,ML,2022-05-05 18:22:35,13.5728,-8.0339,102.47,11,31,10.71
122,Butaritari,KI,2022-05-05 18:22:35,3.0707,172.7902,81.86,68,79,17.4
123,Suntar,RU,2022-05-05 18:22:36,62.1444,117.6319,31.57,95,53,8.28
124,Luzhou,CN,2022-05-05 18:22:00,28.8724,105.4405,72.59,74,99,1.36
125,Longyearbyen,SJ,2022-05-05 18:22:37,78.2186,15.6401,22.84,68,75,5.75
126,Shenkursk,RU,2022-05-05 18:22:37,62.1091,42.896,32.95,73,84,4.79
127,Barrow,US,2022-05-05 18:22:38,71.2906,-156.7887,12.22,85,100,12.66
128,Wahpeton,US,2022-05-05 18:22:38,46.2652,-96.6059,65.12,63,100,11.5
129,Laurel,US,2022-05-05 18:21:24,39.0993,-76.8483,68.25,70,100,6.91
130,Namie,JP,2022-05-05 18:22:39,37.4833,141.0,52.56,78,1,4.07
131,East London,ZA,2022-05-05 18:22:43,-33.0153,27.9116,72.54,78,0,5.75
132,Roebourne,AU,2022-05-05 18:22:44,-20.7833,117.1333,76.32,36,0,16.08
133,Meulaboh,ID,2022-05-05 18:22:45,4.1363,96.1285,77.0,91,100,2.98
134,Bubaque,GW,2022-05-05 18:22:45,11.2833,-15.8333,78.6,71,7,16.73
135,Yerofey Pavlovich,RU,2022-05-05 18:22:47,53.9667,121.9667,30.43,64,99,4.61
136,Galveston,US,2022-05-05 18:22:47,29.3669,-94.9669,87.06,78,100,21.85
137,Katsuura,JP,2022-05-05 18:20:26,35.1333,140.3,63.52,82,100,7.94
138,Abengourou,CI,2022-05-05 18:22:48,6.7297,-3.4964,81.75,69,87,1.52
139,Itaituba,BR,2022-05-05 18:23:49,-4.2761,-55.9836,93.36,55,40,8.05
140,Zhangye,CN,2022-05-05 18:23:49,38.9342,100.4517,66.99,31,83,7.36
141,Whitehorse,CA,2022-05-05 18:23:51,60.7161,-135.0538,45.01,46,40,8.05
142,Talnakh,RU,2022-05-05 18:23:53,69.4865,88.3972,16.21,96,96,6.4
143,Rio Gallegos,AR,2022-05-05 18:23:54,-51.6226,-69.2181,51.82,52,84,17.4
144,Fukue,JP,2022-05-05 18:23:55,32.6881,128.8419,66.29,77,85,7.05
145,Izumo,JP,2022-05-05 18:23:55,35.3667,132.7667,57.15,71,73,5.84
146,Salalah,OM,2022-05-05 18:23:56,17.0151,54.0924,84.29,84,40,3.44
147,Nantucket,US,2022-05-05 18:23:56,41.2835,-70.0995,62.74,55,0,13.8
148,Atuona,PF,2022-05-05 18:23:58,-9.8,-139.0333,78.49,75,83,14.76
149,Mogadishu,SO,2022-05-05 18:23:58,2.0371,45.3438,82.71,77,57,15.61
150,Jiaohe,CN,2022-05-05 18:23:59,43.7286,127.3447,55.11,65,100,12.88
151,Ancud,CL,2022-05-05 18:23:59,-41.8697,-73.8203,53.91,93,100,14.58
152,Urumqi,CN,2022-05-05 18:23:04,43.801,87.6005,67.15,56,0,13.42
153,Sao Raimundo Nonato,BR,2022-05-05 18:24:01,-9.0153,-42.6994,97.36,24,24,10.02
154,Najran,SA,2022-05-05 18:24:01,17.4924,44.1277,84.85,14,2,8.08
155,Zlobin,HR,2022-05-05 18:24:02,45.2924,14.6541,55.17,66,0,3.44
156,Labuhan,ID,2022-05-05 18:24:02,-6.8844,112.2051,79.21,83,38,4.74
157,Tilichiki,RU,2022-05-05 18:24:03,60.4667,166.1,23.88,90,85,6.29
158,Kavieng,PG,2022-05-05 18:24:03,-2.5744,150.7967,82.83,77,99,12.15
159,Presidencia Roque Saenz Pena,AR,2022-05-05 18:24:04,-26.7852,-60.4388,77.09,47,14,6.13
160,Thunder Bay,CA,2022-05-05 18:20:34,48.4001,-89.3168,51.71,43,20,11.5
161,Pattani,TH,2022-05-05 18:23:17,6.75,100.4167,76.71,96,100,1.66
162,Mar Del Plata,AR,2022-05-05 18:24:05,-38.0023,-57.5575,70.88,57,0,16.11
163,Mananara,MG,2022-05-05 18:24:06,-16.1667,49.7667,72.59,93,22,5.82
164,Ndele,CF,2022-05-05 18:24:07,8.4109,20.6473,72.3,85,96,11.77
165,Mbandaka,CD,2022-05-05 18:24:08,0.0487,18.2603,70.29,96,91,5.79
166,Haines Junction,CA,2022-05-05 18:24:09,60.7522,-137.5108,44.55,42,96,6.91
167,Shunyi,CN,2022-05-05 18:24:10,40.125,116.6453,71.55,49,0,6.71
168,Kosonsoy,UZ,2022-05-05 18:24:11,41.2561,71.5508,63.16,64,22,6.73
169,Ipixuna,BR,2022-05-05 18:24:11,-1.7625,-48.8043,81.27,91,45,3.91
